
2	0.000004	#melhores.size-1=1/0.000003
4	0.000006	#melhores.size-1=2/0.000004
5	0.000008	#melhores.size-1=4/0.000006
8	0.000008	#melhores.size-1=5/0.000008
14	0.000008	#melhores.size-1=8/0.000008
17	0.000008	#melhores.size-1=14/0.000008
20	0.000009	#melhores.size-1=17/0.000008
22	0.000010	#melhores.size-1=20/0.000009
23	0.000011	#melhores.size-1=22/0.000010
25	0.000012	#melhores.size-1=23/0.000011
27	0.000015	#melhores.size-1=25/0.000012
36	0.000017	#melhores.size-1=27/0.000015
40	0.000020	#melhores.size-1=36/0.000017
43	0.000020	#melhores.size-1=40/0.000020
47	0.000020	#melhores.size-1=43/0.000020
48	0.000036	#melhores.size-1=47/0.000020
50	0.000039	#melhores.size-1=48/0.000036
52	0.000069	#melhores.size-1=50/0.000039
67	0.000070	#melhores.size-1=52/0.000069
74	0.000071	#melhores.size-1=67/0.000070
78	0.000071	#melhores.size-1=74/0.000071
102	0.000071	#melhores.size-1=78/0.000071
