
2	0.000694
3	0.000743
4	0.002393
8	0.026167
13	0.008660
14	0.015326
15	0.011629
16	0.015326
18	0.012205
21	0.052008
33	0.052171
46	0.053594
53	0.057451
56	0.061638
58	0.061836
61	0.062052
64	0.062129
67	0.063490
68	0.064197
73	0.064941
79	0.065300
88	0.065384
91	0.065590
96	0.065813
98	0.065835
100	0.065901
107	0.066342
109	0.066380
118	0.066480
122	0.066556
123	0.066817
125	0.066875
127	0.067135
135	0.067166
139	0.067216
149	0.067255
162	0.067266
164	0.067513
165	0.067679
216	0.067783
240	0.067912
331	0.067966
858	0.066821
859	0.067966
999	0.066795
1000	0.067966
