
3	0.002359	#melhores.size-1=1/0.000919
5	0.002630	#melhores.size-1=3/0.002359
6	0.002989	#melhores.size-1=5/0.002630
8	0.023645	#melhores.size-1=6/0.002989
10	0.057714	#melhores.size-1=8/0.023645
12	0.058570	#melhores.size-1=10/0.057714
20	0.058712	#melhores.size-1=12/0.058570
22	0.163223	#melhores.size-1=20/0.058712
26	0.164429	#melhores.size-1=22/0.163223
28	0.165461	#melhores.size-1=26/0.164429
29	0.166856	#melhores.size-1=28/0.165461
41	0.167803	#melhores.size-1=29/0.166856
45	0.171790	#melhores.size-1=41/0.167803
57	0.172436	#melhores.size-1=45/0.171790
60	0.174754	#melhores.size-1=57/0.172436
62	0.178139	#melhores.size-1=60/0.174754
72	0.179500	#melhores.size-1=62/0.178139
77	0.179691	#melhores.size-1=72/0.179500
96	0.180092	#melhores.size-1=77/0.179691
