
2	0.000694	#melhores.size-1=1/0.082707
3	0.014692	#melhores.size-1=2/0.000694
4	0.022717	#melhores.size-1=3/0.014692
8	0.031993	#melhores.size-1=4/0.022717
11	0.048995	#melhores.size-1=8/0.031993
13	0.051676	#melhores.size-1=11/0.048995
16	0.057156	#melhores.size-1=13/0.051676
18	0.057737	#melhores.size-1=16/0.057156
19	0.071022	#melhores.size-1=18/0.057737
20	0.076664	#melhores.size-1=19/0.071022
21	0.093653	#melhores.size-1=20/0.076664
32	0.099739	#melhores.size-1=21/0.093653
41	0.103810	#melhores.size-1=32/0.099739
42	0.127566	#melhores.size-1=41/0.103810
45	0.228115	#melhores.size-1=42/0.127566
61	0.241080	#melhores.size-1=45/0.228115
107	0.344983	#melhores.size-1=61/0.241080
116	0.438897	#melhores.size-1=107/0.344983
141	0.443091	#melhores.size-1=116/0.438897
